entity_name,entity_url,workflow_name,workflow_path,vulnerability_name,vulnerability_info
stellar,https://github.com/stellar,build-and-test.yml,https://github.com/stellar/supercluster/blob/master/.github/workflows/build-and-test.yml,Kubernetes Resource Access,Usage of $KUBECONFIG found.
hazelcast,https://github.com/hazelcast,test-and-release.yaml,https://github.com/hazelcast/hazelcast-platform-operator/blob/master/.github/workflows/test-and-release.yaml,Kubernetes Resource Access,Usage of KUBECONFIG:  found.
mesosphere,https://github.com/mesosphere,checks.yml,https://github.com/mesosphere/dynamic-credential-provider/blob/master/.github/workflows/checks.yml,Kubernetes Resource Access,Usage of KUBECONFIG:  found.
thunderbird,https://github.com/thunderbird,ci-tests.yml,https://github.com/thunderbird/addons-server/blob/master/.github/workflows/ci-tests.yml,External Resource Access,Usage of mysql://root:verysecurepw@host.docker.internal:3306/test_olympia found.
GSA,https://github.com/GSA,checks.yml,https://github.com/GSA/notifications-api/blob/master/.github/workflows/checks.yml,External Resource Access,Usage of postgresql://user:password@localhost:5432/test_notification_api found.
GSA,https://github.com/GSA,daily_checks.yml,https://github.com/GSA/notifications-api/blob/master/.github/workflows/daily_checks.yml,External Resource Access,Usage of postgresql://user:password@localhost:5432/test_notification_api found.
GSA,https://github.com/GSA,checks.yml,https://github.com/GSA/notifications-admin/blob/master/.github/workflows/checks.yml,External Resource Access,Usage of postgresql://user:password@localhost:5432/test_notification_api found.
alteryx,https://github.com/alteryx,postgres_test.yaml,https://github.com/alteryx/featuretools_sql/blob/master/.github/workflows/postgres_test.yaml,External Resource Access,Usage of postgresql://postgres:postgres@localhost:5432/postgres found.
cnodejs,https://github.com/cnodejs,nodejs.yml,https://github.com/cnodejs/tegg-cnode/blob/master/.github/workflows/nodejs.yml,External Resource Access,Usage of mongodb://root:root@127.0.0.1:27017/admin found.
TykTechnologies,https://github.com/TykTechnologies,run-tests.yaml,https://github.com/TykTechnologies/tyk-charts/blob/master/.github/workflows/run-tests.yaml,External Resource Access,Usage of mongodb://root:$MONGODB_ROOT_PASSWORD@mongo-mongodb.${{ env.TYK_STACK_NS }}.svc:27017/tyk_analytics found.
newrelic,https://github.com/newrelic,ci.yaml,https://github.com/newrelic/newrelic-infra-operator/blob/master/.github/workflows/ci.yaml,Kubernetes Resource Access,Usage of KUBECONFIG:  found.
newrelic,https://github.com/newrelic,ci.yaml,https://github.com/newrelic/newrelic-k8s-metrics-adapter/blob/master/.github/workflows/ci.yaml,Kubernetes Resource Access,Usage of KUBECONFIG:  found.
launchbadge,https://github.com/launchbadge,examples.yml,https://github.com/launchbadge/sqlx/blob/master/.github/workflows/examples.yml,External Resource Access,Usage of mysql://root:password@localhost:3306/todos found.
launchbadge,https://github.com/launchbadge,sqlx.yml,https://github.com/launchbadge/sqlx/blob/master/.github/workflows/sqlx.yml,External Resource Access,Usage of mysql://root:password@localhost:3306/sqlx found.
alphagov,https://github.com/alphagov,pact-verify.yml,https://github.com/alphagov/asset-manager/blob/master/.github/workflows/pact-verify.yml,External Resource Access,"Usage of mongodb://localhost:27017/test-db""
      RAILS_ENV: test
    steps:
      - uses: actions/checkout@v4
        with:
          repository: alphagov/asset found."
alphagov,https://github.com/alphagov,test_on_pr.yml,https://github.com/alphagov/paas-billing/blob/master/.github/workflows/test_on_pr.yml,External Resource Access,Usage of postgresql://postgres:secret@localhost:5432/test found.
alphagov,https://github.com/alphagov,tests.yaml,https://github.com/alphagov/paas-accounts/blob/master/.github/workflows/tests.yaml,External Resource Access,Usage of postgresql://jeff:secret@localhost:5432/test found.
camunda,https://github.com/camunda,test-regression.yaml,https://github.com/camunda/camunda-platform-helm/blob/master/.github/workflows/test-regression.yaml,Kubernetes Resource Access,Usage of KUBECONFIG:  found.
micro,https://github.com/micro,tests.yml,https://github.com/micro/services/blob/master/.github/workflows/tests.yml,External Resource Access,Usage of postgresql://postgres:postgres@postgres:5432/postgres found.
splunk,https://github.com/splunk,uffizzi-preview.yaml,https://github.com/splunk/backstage/blob/master/.github/workflows/uffizzi-preview.yaml,Kubernetes Resource Access,"Usage of kubectl get all --kubeconfig ./kubeconfig, kubectl get namespace --kubeconfig [PATH_TO_KUBECONFIG]`, kubectl apply -f manifests.rendered.yml --kubeconfig ./kubeconfig, kubectl get ingress backstage --kubeconfig kubeconfig, kubectl patch deployment backstage --kubeconfig kubeconfig found."
percona,https://github.com/percona,ci.yml,https://github.com/percona/dbaas-controller/blob/master/.github/workflows/ci.yml,Kubernetes Resource Access,Usage of KUBECONFIG:  found.
ovh,https://github.com/ovh,tests.yml,https://github.com/ovh/celery-director/blob/master/.github/workflows/tests.yml,External Resource Access,Usage of postgresql://director:director@localhost:5432/tests found.
mitre,https://github.com/mitre,test.yaml,https://github.com/mitre/saf-site-backend/blob/master/.github/workflows/test.yaml,External Resource Access,Usage of postgresql://${{ secrets.DATABASE_USERNAME }}:${{ secrets.DATABASE_PASSWORD }}@localhost:5432/${{ secrets.DATABASE_NAME } found.
18F,https://github.com/18F,api-test-deploy.yml,https://github.com/18F/aocourts-api/blob/master/.github/workflows/api-test-deploy.yml,External Resource Access,Usage of postgresql://postgres:postgres@localhost:5432/postgres found.
18F,https://github.com/18F,run-api-tests-action.yml,https://github.com/18F/aocourts-api/blob/master/.github/workflows/run-api-tests-action.yml,External Resource Access,Usage of postgresql://postgres:postgres@localhost:5432/postgres found.
vimeo,https://github.com/vimeo,main.yml,https://github.com/vimeo/tusd/blob/master/.github/workflows/main.yml,Kubernetes Resource Access,Usage of ${{ secrets.KUBECONFIG }} found.
input-output-hk,https://github.com/input-output-hk,continuous-integration-e2e.yaml,https://github.com/input-output-hk/cardano-js-sdk/blob/master/.github/workflows/continuous-integration-e2e.yaml,External Resource Access,"Usage of postgresql://postgres:doNoUseThisSecret!@localhost:5435/stake_pool_test, postgresql://postgres:doNoUseThisSecret!@localhost:5435/cexplorer, postgresql://postgres:doNoUseThisSecret!@localhost:5435/stake_pool found."
input-output-hk,https://github.com/input-output-hk,ci.yml,https://github.com/input-output-hk/adrestia-multisig-coordination/blob/master/.github/workflows/ci.yml,External Resource Access,Usage of postgresql://postgres:notForProduction!@127.0.0.1:5432/mcs found.
input-output-hk,https://github.com/input-output-hk,ci.yml,https://github.com/input-output-hk/casbin-pgx-adapter/blob/master/.github/workflows/ci.yml,External Resource Access,Usage of postgresql://postgres:postgres@127.0.0.1:5432/postgres found.
input-output-hk,https://github.com/input-output-hk,ci.yml,https://github.com/input-output-hk/cardano-rosetta/blob/master/.github/workflows/ci.yml,External Resource Access,Usage of postgresql://postgres:notForProduction!@127.0.0.1:5432/mainnet found.
cloudposse,https://github.com/cloudposse,test-positive.yml,https://github.com/cloudposse/github-action-deploy-helmfile/blob/master/.github/workflows/test-positive.yml,Kubernetes Resource Access,Usage of KUBECONFIG:  found.
seatgeek,https://github.com/seatgeek,ide-integration-tests.yml,https://github.com/seatgeek/gitpod/blob/master/.github/workflows/ide-integration-tests.yml,Cloud Resource Access,"Usage of gcloud auth activate-service-account --key-file ""${PREVIEW_ENV_DEV_SA_KEY_PATH}"" found."
seatgeek,https://github.com/seatgeek,preview-env-check-regressions.yml,https://github.com/seatgeek/gitpod/blob/master/.github/workflows/preview-env-check-regressions.yml,Cloud Resource Access,"Usage of gcloud auth activate-service-account --key-file ""${PREVIEW_ENV_DEV_SA_KEY_PATH}"" found."
seatgeek,https://github.com/seatgeek,preview-env-gc.yml,https://github.com/seatgeek/gitpod/blob/master/.github/workflows/preview-env-gc.yml,Cloud Resource Access,"Usage of gcloud auth activate-service-account --key-file ""${PREVIEW_ENV_DEV_SA_KEY_PATH}"" found."
seatgeek,https://github.com/seatgeek,uffizzi-preview.yaml,https://github.com/seatgeek/backstage/blob/master/.github/workflows/uffizzi-preview.yaml,Kubernetes Resource Access,"Usage of kubectl get all --kubeconfig ./kubeconfig, kubectl get ingress backstage --kubeconfig kubeconfig, kubectl patch deployment backstage --kubeconfig kubeconfig, kubectl get namespace --kubeconfig [PATH_TO_KUBECONFIG]`, kubectl apply -f manifests.rendered.yml --kubeconfig ./kubeconfig found."
nginxinc,https://github.com/nginxinc,kitchen.yml,https://github.com/nginxinc/docker-formula/blob/master/.github/workflows/kitchen.yml,Kubernetes Resource Access,Usage of KUBECONFIG: '$HOME/.kube/config' found.
wso2,https://github.com/wso2,e2e-tests.yaml,https://github.com/wso2/choreo-keda-http-addon-fork/blob/master/.github/workflows/e2e-tests.yaml,Kubernetes Resource Access,Usage of KUBECONFIG:  found.
lyft,https://github.com/lyft,android-ci.yml,https://github.com/lyft/maplibre-gl-native/blob/master/.github/workflows/android-ci.yml,Cloud Resource Access,Usage of gcloud auth activate-service-account --key-file secret.json found.
lyft,https://github.com/lyft,android-release.yml,https://github.com/lyft/maplibre-gl-native/blob/master/.github/workflows/android-release.yml,Cloud Resource Access,Usage of gcloud auth activate-service-account --key-file secret.json found.
neo4j,https://github.com/neo4j,tests.yml,https://github.com/neo4j/helm-charts/blob/master/.github/workflows/tests.yml,Kubernetes Resource Access,Usage of $KUBECONFIG found.
puppetlabs,https://github.com/puppetlabs,ci.yml,https://github.com/puppetlabs/puppetlabs-lvm/blob/master/.github/workflows/ci.yml,Cloud Resource Access,"Usage of gcloud auth activate-service-account --key-file creds.json"" found."
puppetlabs,https://github.com/puppetlabs,nightly.yml,https://github.com/puppetlabs/puppetlabs-lvm/blob/master/.github/workflows/nightly.yml,Cloud Resource Access,"Usage of gcloud auth activate-service-account --key-file creds.json"" found."
puppetlabs,https://github.com/puppetlabs,ci.yml,https://github.com/puppetlabs/puppetlabs-sqlserver/blob/master/.github/workflows/ci.yml,Cloud Resource Access,"Usage of gcloud auth activate-service-account --key-file C:\\creds.json"" found."
puppetlabs,https://github.com/puppetlabs,nightly.yml,https://github.com/puppetlabs/puppetlabs-sqlserver/blob/master/.github/workflows/nightly.yml,Cloud Resource Access,"Usage of gcloud auth activate-service-account --key-file C:\\creds.json"" found."
puppetlabs,https://github.com/puppetlabs,ci.yml,https://github.com/puppetlabs/puppetlabs-satellite_pe_tools/blob/master/.github/workflows/ci.yml,Cloud Resource Access,"Usage of gcloud auth activate-service-account --key-file creds.json"" found."
puppetlabs,https://github.com/puppetlabs,nightly.yml,https://github.com/puppetlabs/puppetlabs-satellite_pe_tools/blob/master/.github/workflows/nightly.yml,Cloud Resource Access,"Usage of gcloud auth activate-service-account --key-file creds.json"" found."
puppetlabs,https://github.com/puppetlabs,ci.yaml,https://github.com/puppetlabs/relay-core/blob/master/.github/workflows/ci.yaml,Kubernetes Resource Access,Usage of KUBECONFIG:  found.
puppetlabs,https://github.com/puppetlabs,ci.yaml,https://github.com/puppetlabs/leg/blob/master/.github/workflows/ci.yaml,Kubernetes Resource Access,Usage of KUBECONFIG:  found.
puppetlabs,https://github.com/puppetlabs,ci.yaml,https://github.com/puppetlabs/pvpool/blob/master/.github/workflows/ci.yaml,Kubernetes Resource Access,Usage of KUBECONFIG:  found.
puppetlabs,https://github.com/puppetlabs,relay-node-tainter-ci.yaml,https://github.com/puppetlabs/relay-services/blob/master/.github/workflows/relay-node-tainter-ci.yaml,Kubernetes Resource Access,Usage of KUBECONFIG:  found.
jupyterhub,https://github.com/jupyterhub,test.yml,https://github.com/jupyterhub/jupyterhub/blob/master/.github/workflows/test.yml,External Resource Access,Usage of postgresql://test_user:hub%5Btest%2F%3A%3F@127.0.0.1:5432/jupyterhub found.
jupyterhub,https://github.com/jupyterhub,readme_example.yml,https://github.com/jupyterhub/action-k3s-helm/blob/master/.github/workflows/readme_example.yml,Kubernetes Resource Access,Usage of $KUBECONFIG found.
dolthub,https://github.com/dolthub,k8s-benchmark-latency.yaml,https://github.com/dolthub/dolt/blob/master/.github/workflows/k8s-benchmark-latency.yaml,Kubernetes Resource Access,"Usage of KUBECONFIG: ""./kubeconfig"" found."
dolthub,https://github.com/dolthub,k8s-dolt-profile.yaml,https://github.com/dolthub/dolt/blob/master/.github/workflows/k8s-dolt-profile.yaml,Kubernetes Resource Access,"Usage of KUBECONFIG: ""./kubeconfig"" found."
dolthub,https://github.com/dolthub,k8s-fuzzer.yaml,https://github.com/dolthub/dolt/blob/master/.github/workflows/k8s-fuzzer.yaml,Kubernetes Resource Access,"Usage of KUBECONFIG: ""./kubeconfig"" found."
dolthub,https://github.com/dolthub,k8s-sql-correctness.yaml,https://github.com/dolthub/dolt/blob/master/.github/workflows/k8s-sql-correctness.yaml,Kubernetes Resource Access,"Usage of KUBECONFIG: ""./kubeconfig"" found."
dolthub,https://github.com/dolthub,k8s-benchmark-latency.yaml,https://github.com/dolthub/doltgresql/blob/master/.github/workflows/k8s-benchmark-latency.yaml,Kubernetes Resource Access,"Usage of KUBECONFIG: ""./kubeconfig"" found."
dolthub,https://github.com/dolthub,k8s-sql-correctness.yaml,https://github.com/dolthub/doltgresql/blob/master/.github/workflows/k8s-sql-correctness.yaml,Kubernetes Resource Access,"Usage of KUBECONFIG: ""./kubeconfig"" found."
wikimedia,https://github.com/wikimedia,ci.yml,https://github.com/wikimedia/ws-export/blob/master/.github/workflows/ci.yml,External Resource Access,Usage of mysql://root:testpwd@127.0.0.1:3306/wsexport_test found.
AliyunContainerService,https://github.com/AliyunContainerService,go-presubmit.yml,https://github.com/AliyunContainerService/registration-operator/blob/master/.github/workflows/go-presubmit.yml,Kubernetes Resource Access,Usage of KUBECONFIG:  found.
AliyunContainerService,https://github.com/AliyunContainerService,go-presubmit.yml,https://github.com/AliyunContainerService/registration/blob/master/.github/workflows/go-presubmit.yml,Kubernetes Resource Access,Usage of KUBECONFIG:  found.
AliyunContainerService,https://github.com/AliyunContainerService,go-presubmit.yml,https://github.com/AliyunContainerService/work/blob/master/.github/workflows/go-presubmit.yml,Kubernetes Resource Access,Usage of KUBECONFIG:  found.
AliyunContainerService,https://github.com/AliyunContainerService,ci-build.yaml,https://github.com/AliyunContainerService/argo-workflows/blob/master/.github/workflows/ci-build.yaml,Kubernetes Resource Access,"Usage of $KUBECONFIG, KUBECONFIG:  found."
heyxyz,https://github.com/heyxyz,ci.yml,https://github.com/heyxyz/hey/blob/master/.github/workflows/ci.yml,External Resource Access,Usage of postgresql://postgres:postgres@localhost:5432/postgres found.
