github_org,github_stars,github_link
microsoft,2675837,https://github.com/microsoft
google,1843929,https://github.com/google
apache,1086313,https://github.com/apache
facebook,953071,https://github.com/facebook
alibaba,756334,https://github.com/alibaba
facebookresearch,678528,https://github.com/facebookresearch
vuejs,595735,https://github.com/vuejs
Tencent,482366,https://github.com/Tencent
tensorflow,471244,https://github.com/tensorflow
openai,466047,https://github.com/openai
freeCodeCamp,447782,https://github.com/freeCodeCamp
github,427608,https://github.com/github
dotnet,392647,https://github.com/dotnet
vercel,391539,https://github.com/vercel
airbnb,373479,https://github.com/airbnb
TheAlgorithms,372298,https://github.com/TheAlgorithms
facebookarchive,364058,https://github.com/facebookarchive
fossasia,356872,https://github.com/fossasia
symfony,342356,https://github.com/symfony
huggingface,340631,https://github.com/huggingface
EbookFoundation,321752,https://github.com/EbookFoundation
rust-lang,313500,https://github.com/rust-lang
angular,297667,https://github.com/angular
hashicorp,296689,https://github.com/hashicorp
apple,293540,https://github.com/apple
square,291202,https://github.com/square
mozilla,276692,https://github.com/mozilla
kubernetes,271703,https://github.com/kubernetes
NVIDIA,238220,https://github.com/NVIDIA
shadowsocks,237397,https://github.com/shadowsocks
flutter,228694,https://github.com/flutter
golang,227226,https://github.com/golang
Netflix,223510,https://github.com/Netflix
nodejs,216820,https://github.com/nodejs
twbs,212803,https://github.com/twbs
aws,210448,https://github.com/aws
Azure,209498,https://github.com/Azure
elastic,205876,https://github.com/elastic
laravel,201285,https://github.com/laravel
twitter,200731,https://github.com/twitter
spring-projects,200575,https://github.com/spring-projects
PacktPublishing,196719,https://github.com/PacktPublishing
ossu,191351,https://github.com/ossu
JetBrains,188758,https://github.com/JetBrains
pytorch,185399,https://github.com/pytorch
spatie,179638,https://github.com/spatie
GoogleCloudPlatform,174347,https://github.com/GoogleCloudPlatform
ant-design,171785,https://github.com/ant-design
ethereum,171747,https://github.com/ethereum
aws-samples,170926,https://github.com/aws-samples
docker,169666,https://github.com/docker
ohmyzsh,168734,https://github.com/ohmyzsh
electron,165005,https://github.com/electron
redis,163549,https://github.com/redis
grafana,159184,https://github.com/grafana
ReactiveX,155964,https://github.com/ReactiveX
h5bp,153677,https://github.com/h5bp
Shopify,151485,https://github.com/Shopify
reduxjs,151002,https://github.com/reduxjs
google-deepmind,149732,https://github.com/google-deepmind
awslabs,149017,https://github.com/awslabs
Unity-Technologies,147170,https://github.com/Unity-Technologies
doocs,145778,https://github.com/doocs
cloudflare,143740,https://github.com/cloudflare
NVlabs,132201,https://github.com/NVlabs
d3,130823,https://github.com/d3
thoughtbot,130037,https://github.com/thoughtbot
ytdl-org,128532,https://github.com/ytdl-org
denoland,127736,https://github.com/denoland
expressjs,122530,https://github.com/expressjs
